priority,net,endpoints,reason,suggested_test,status
MED,AL1,CN2.28,touches AI low-confidence component(s): CN2,(net has <2 endpoints; nothing to probe),open
MED,AL10,CN2.37,touches AI low-confidence component(s): CN2,(net has <2 endpoints; nothing to probe),open
MED,AL11,CN2.38,touches AI low-confidence component(s): CN2,(net has <2 endpoints; nothing to probe),open
MED,AL12,CN2.39,touches AI low-confidence component(s): CN2,(net has <2 endpoints; nothing to probe),open
MED,AL13,CN2.40,touches AI low-confidence component(s): CN2,(net has <2 endpoints; nothing to probe),open
MED,AL14,CN2.41,touches AI low-confidence component(s): CN2,(net has <2 endpoints; nothing to probe),open
MED,AL15,CN2.42,touches AI low-confidence component(s): CN2,(net has <2 endpoints; nothing to probe),open
MED,AL2,CN2.29,touches AI low-confidence component(s): CN2,(net has <2 endpoints; nothing to probe),open
MED,AL3,CN2.30,touches AI low-confidence component(s): CN2,(net has <2 endpoints; nothing to probe),open
MED,AL4,CN2.31,touches AI low-confidence component(s): CN2,(net has <2 endpoints; nothing to probe),open
MED,AL5,CN2.32,touches AI low-confidence component(s): CN2,(net has <2 endpoints; nothing to probe),open
MED,AL6,CN2.33,touches AI low-confidence component(s): CN2,(net has <2 endpoints; nothing to probe),open
MED,AL7,CN2.34,touches AI low-confidence component(s): CN2,(net has <2 endpoints; nothing to probe),open
MED,AL8,CN2.35,touches AI low-confidence component(s): CN2,(net has <2 endpoints; nothing to probe),open
MED,AL9,CN2.36,touches AI low-confidence component(s): CN2,(net has <2 endpoints; nothing to probe),open
MED,AREA1,CN1.22,touches AI low-confidence component(s): CN1,(net has <2 endpoints; nothing to probe),open
MED,AREA2,CN1.23,touches AI low-confidence component(s): CN1,(net has <2 endpoints; nothing to probe),open
MED,AREA3,CN1.24,touches AI low-confidence component(s): CN1,(net has <2 endpoints; nothing to probe),open
MED,AREA4,CN1.25,touches AI low-confidence component(s): CN1,(net has <2 endpoints; nothing to probe),open
MED,AREA5,CN1.26,touches AI low-confidence component(s): CN1,(net has <2 endpoints; nothing to probe),open
MED,CARRY,CN1.36,touches AI low-confidence component(s): CN1,(net has <2 endpoints; nothing to probe),open
MED,CDBF,IC99.10;CN1.9,touches AI low-confidence component(s): CN1,Power-off DMM continuity: IC99.10 ↔ CN1.9 should all beep.,open
MED,CDGF,IC99.11;CN1.8,touches AI low-confidence component(s): CN1,Power-off DMM continuity: IC99.11 ↔ CN1.8 should all beep.,open
MED,CDRF,IC99.12;CN1.7,touches AI low-confidence component(s): CN1,Power-off DMM continuity: IC99.12 ↔ CN1.7 should all beep.,open
MED,CLK20M_BUF,IC130a.2;IC120a.3,"touches AI low-confidence component(s): IC120a, IC130a",Power-off DMM continuity: IC130a.2 ↔ IC120a.3 should all beep.,open
MED,CMPSYNC,CN1.38,touches AI low-confidence component(s): CN1,(net has <2 endpoints; nothing to probe),open
MED,COCH0,CN1.18,touches AI low-confidence component(s): CN1,(net has <2 endpoints; nothing to probe),open
MED,COCH2,CN1.20,touches AI low-confidence component(s): CN1,(net has <2 endpoints; nothing to probe),open
MED,COCH3,CN1.21,touches AI low-confidence component(s): CN1,(net has <2 endpoints; nothing to probe),open
MED,COL0,CN2.9,touches AI low-confidence component(s): CN2,(net has <2 endpoints; nothing to probe),open
MED,COL1,CN2.10,touches AI low-confidence component(s): CN2,(net has <2 endpoints; nothing to probe),open
MED,COL2,CN2.11,touches AI low-confidence component(s): CN2,(net has <2 endpoints; nothing to probe),open
MED,CSFE_BAR,CN1.35,touches AI low-confidence component(s): CN1,(net has <2 endpoints; nothing to probe),open
MED,D00_BAR,IC76.11;IC89.11;IC103.11;IC114.9;IC87.2;CN1.27,touches AI low-confidence component(s): CN1,Power-off DMM continuity: IC76.11 ↔ IC89.11; IC76.11 ↔ IC103.11; IC76.11 ↔ IC114.9; IC76.11 ↔ IC87.2; IC76.11 ↔ CN1.27 should all beep.,open
MED,D01_BAR,IC76.12;IC89.12;IC103.12;IC114.10;IC87.3;CN1.28,touches AI low-confidence component(s): CN1,Power-off DMM continuity: IC76.12 ↔ IC89.12; IC76.12 ↔ IC103.12; IC76.12 ↔ IC114.10; IC76.12 ↔ IC87.3; IC76.12 ↔ CN1.28 should all beep.,open
MED,D02_BAR,IC76.13;IC89.13;IC103.13;IC114.11;IC87.4;CN1.29,touches AI low-confidence component(s): CN1,Power-off DMM continuity: IC76.13 ↔ IC89.13; IC76.13 ↔ IC103.13; IC76.13 ↔ IC114.11; IC76.13 ↔ IC87.4; IC76.13 ↔ CN1.29 should all beep.,open
MED,D03_BAR,IC76.15;IC89.15;IC103.15;IC114.13;IC87.5;CN1.30,touches AI low-confidence component(s): CN1,Power-off DMM continuity: IC76.15 ↔ IC89.15; IC76.15 ↔ IC103.15; IC76.15 ↔ IC114.13; IC76.15 ↔ IC87.5; IC76.15 ↔ CN1.30 should all beep.,open
MED,D04_BAR,IC76.16;IC89.16;IC103.16;IC114.14;IC87.6;CN1.31,touches AI low-confidence component(s): CN1,Power-off DMM continuity: IC76.16 ↔ IC89.16; IC76.16 ↔ IC103.16; IC76.16 ↔ IC114.14; IC76.16 ↔ IC87.6; IC76.16 ↔ CN1.31 should all beep.,open
MED,D05_BAR,IC76.17;IC89.17;IC103.17;IC114.15;IC87.7;CN1.32,touches AI low-confidence component(s): CN1,Power-off DMM continuity: IC76.17 ↔ IC89.17; IC76.17 ↔ IC103.17; IC76.17 ↔ IC114.15; IC76.17 ↔ IC87.7; IC76.17 ↔ CN1.32 should all beep.,open
MED,D06_BAR,IC76.18;IC89.18;IC103.18;IC114.16;IC87.8;CN1.33,touches AI low-confidence component(s): CN1,Power-off DMM continuity: IC76.18 ↔ IC89.18; IC76.18 ↔ IC103.18; IC76.18 ↔ IC114.16; IC76.18 ↔ IC87.8; IC76.18 ↔ CN1.33 should all beep.,open
MED,D07_BAR,IC76.19;IC89.19;IC103.19;IC114.17;IC87.9;CN1.34,touches AI low-confidence component(s): CN1,Power-off DMM continuity: IC76.19 ↔ IC89.19; IC76.19 ↔ IC103.19; IC76.19 ↔ IC114.17; IC76.19 ↔ IC87.9; IC76.19 ↔ CN1.34 should all beep.,open
MED,DEC0,CN2.43,touches AI low-confidence component(s): CN2,(net has <2 endpoints; nothing to probe),open
MED,FF1_D,IC120a.2,touches AI low-confidence component(s): IC120a,(net has <2 endpoints; nothing to probe),open
MED,FF2_D,IC120b.12,touches AI low-confidence component(s): IC120b,(net has <2 endpoints; nothing to probe),open
MED,H2,CN2.13,touches AI low-confidence component(s): CN2,(net has <2 endpoints; nothing to probe),open
MED,H3,IC88.5;CN2.14,touches AI low-confidence component(s): CN2,Power-off DMM continuity: IC88.5 ↔ CN2.14 should all beep.,open
MED,H4,IC88.2;CN2.15,touches AI low-confidence component(s): CN2,Power-off DMM continuity: IC88.2 ↔ CN2.15 should all beep.,open
MED,HCLK,CN2.12,touches AI low-confidence component(s): CN2,(net has <2 endpoints; nothing to probe),open
MED,IODM_BAR,CN1.39,touches AI low-confidence component(s): CN1,(net has <2 endpoints; nothing to probe),open
MED,LE0,CN2.18,touches AI low-confidence component(s): CN2,(net has <2 endpoints; nothing to probe),open
MED,LE1,CN2.19,touches AI low-confidence component(s): CN2,(net has <2 endpoints; nothing to probe),open
MED,LE2,CN2.20,touches AI low-confidence component(s): CN2,(net has <2 endpoints; nothing to probe),open
MED,LE3,CN2.21,touches AI low-confidence component(s): CN2,(net has <2 endpoints; nothing to probe),open
MED,LE4,CN2.22,touches AI low-confidence component(s): CN2,(net has <2 endpoints; nothing to probe),open
MED,LE5,CN2.23,touches AI low-confidence component(s): CN2,(net has <2 endpoints; nothing to probe),open
MED,LE6,CN2.24,touches AI low-confidence component(s): CN2,(net has <2 endpoints; nothing to probe),open
MED,LE7,CN2.25,touches AI low-confidence component(s): CN2,(net has <2 endpoints; nothing to probe),open
MED,OSC_GATE1_IN,X1.1;R35.1;IC130b.3,touches AI low-confidence component(s): IC130b,Power-off DMM continuity: X1.1 ↔ R35.1; X1.1 ↔ IC130b.3 should all beep.,open
MED,OSC_GATE1_OUT,IC130b.4;R35.2;C18.1,touches AI low-confidence component(s): IC130b,Power-off DMM continuity: IC130b.4 ↔ R35.2; IC130b.4 ↔ C18.1 should all beep.,open
MED,OSC_GATE2_IN,C18.2;IC130c.5;R34.1,touches AI low-confidence component(s): IC130c,Power-off DMM continuity: C18.2 ↔ IC130c.5; C18.2 ↔ R34.1 should all beep.,open
MED,OSC_GATE2_OUT,IC130c.6;R34.2;X1.2;IC130a.1,"touches AI low-confidence component(s): IC130a, IC130c",Power-off DMM continuity: IC130c.6 ↔ R34.2; IC130c.6 ↔ X1.2; IC130c.6 ↔ IC130a.1 should all beep.,open
MED,PDBF,CN1.6,touches AI low-confidence component(s): CN1,(net has <2 endpoints; nothing to probe),open
MED,PL0,CN2.5,touches AI low-confidence component(s): CN2,(net has <2 endpoints; nothing to probe),open
MED,PL2,CN2.7,touches AI low-confidence component(s): CN2,(net has <2 endpoints; nothing to probe),open
MED,PLA1,CN2.6,touches AI low-confidence component(s): CN2,(net has <2 endpoints; nothing to probe),open
MED,PLA3,CN2.8,touches AI low-confidence component(s): CN2,(net has <2 endpoints; nothing to probe),open
MED,PLBE,R_LED1.2;LED2.1;CN1.5,"touches AI low-confidence component(s): CN1, LED2",Power-off DMM continuity: R_LED1.2 ↔ LED2.1; R_LED1.2 ↔ CN1.5 should all beep.,open
MED,QMH1,CN1.19,touches AI low-confidence component(s): CN1,(net has <2 endpoints; nothing to probe),open
MED,RD0_BAR,CN1.10,touches AI low-confidence component(s): CN1,(net has <2 endpoints; nothing to probe),open
MED,RD1_BAR,CN1.11,touches AI low-confidence component(s): CN1,(net has <2 endpoints; nothing to probe),open
MED,RD2_BAR,CN1.12,touches AI low-confidence component(s): CN1,(net has <2 endpoints; nothing to probe),open
MED,RD3_BAR,CN1.13,touches AI low-confidence component(s): CN1,(net has <2 endpoints; nothing to probe),open
MED,RD4_BAR,CN1.14,touches AI low-confidence component(s): CN1,(net has <2 endpoints; nothing to probe),open
MED,RD5_BAR,CN1.15,touches AI low-confidence component(s): CN1,(net has <2 endpoints; nothing to probe),open
MED,RD6_BAR,CN1.16,touches AI low-confidence component(s): CN1,(net has <2 endpoints; nothing to probe),open
MED,RD7_BAR,CN1.17,touches AI low-confidence component(s): CN1,(net has <2 endpoints; nothing to probe),open
MED,TVCLR,CN1.37,touches AI low-confidence component(s): CN1,(net has <2 endpoints; nothing to probe),open
MED,TV_BLANK,CN2.26,touches AI low-confidence component(s): CN2,(net has <2 endpoints; nothing to probe),open
MED,WREB,CN1.41,touches AI low-confidence component(s): CN1,(net has <2 endpoints; nothing to probe),open
MED,verify:C15,C15,"AI-added, moderate confidence 0.55; sheet 1 @ (700,764)","Locate chip C15 on the PCB and read the printed part number. Expect 'CP'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:C16,C16,"AI-added, moderate confidence 0.55; sheet 1 @ (365,1005)","Locate chip C16 on the PCB and read the printed part number. Expect 'C'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:C17,C17,"AI-added, moderate confidence 0.55; sheet 1 @ (455,940)","Locate chip C17 on the PCB and read the printed part number. Expect 'C'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:C4,C4,"AI-added, moderate confidence 0.55; sheet 1 @ (785,1245)","Locate chip C4 on the PCB and read the printed part number. Expect 'C'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:CN1,CN1,"AI-added, moderate confidence 0.65; sheet 2 @ (3365,572)","Locate chip CN1 on the PCB and read the printed part number. Expect 'Conn_02x25'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:CN2,CN2,"AI-added, moderate confidence 0.65; sheet 2 @ (3370,2030)","Locate chip CN2 on the PCB and read the printed part number. Expect 'Conn_02x25'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:CN3,CN3,"AI-added, moderate confidence 0.65; sheet 2 @ (4072,995)","Locate chip CN3 on the PCB and read the printed part number. Expect 'Conn_01x12'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:C_BYP1,C_BYP1,"AI-added, moderate confidence 0.55; sheet 1 @ (677,368)","Locate chip C_BYP1 on the PCB and read the printed part number. Expect 'C'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:C_BYP2,C_BYP2,"AI-added, moderate confidence 0.55; sheet 1 @ (801,366)","Locate chip C_BYP2 on the PCB and read the printed part number. Expect 'C'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:C_PWR1,C_PWR1,"AI-added, moderate confidence 0.65; sheet 2 @ (3848,1092)","Locate chip C_PWR1 on the PCB and read the printed part number. Expect 'CP'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:C_PWR2,C_PWR2,"AI-added, moderate confidence 0.65; sheet 2 @ (3985,1087)","Locate chip C_PWR2 on the PCB and read the printed part number. Expect 'C'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:IC100,IC100,"AI-added, moderate confidence 0.75; sheet 2 @ (3273,1387)","Locate chip IC100 on the PCB and read the printed part number. Expect '74LS174'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:IC101,IC101,"AI-added, moderate confidence 0.75; sheet 2 @ (1349,1306)","Locate chip IC101 on the PCB and read the printed part number. Expect 'MB8128'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:IC102,IC102,"AI-added, moderate confidence 0.75; sheet 2 @ (685,1797)","Locate chip IC102 on the PCB and read the printed part number. Expect '74LS157'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:IC103,IC103,"AI-added, moderate confidence 0.75; sheet 2 @ (2028,511)","Locate chip IC103 on the PCB and read the printed part number. Expect '2764'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:IC104,IC104,"AI-added, moderate confidence 0.55; sheet 1 @ (2588,800)","Locate chip IC104 on the PCB and read the printed part number. Expect '74LS138'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:IC106,IC106,"AI-added, moderate confidence 0.70; sheet 1 @ (1314,1414)","Locate chip IC106 on the PCB and read the printed part number. Expect '74LS245'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:IC107a,IC107a,"AI-added, moderate confidence 0.60; sheet 1 @ (2164,1662)","Locate chip IC107a on the PCB and read the printed part number. Expect '74LS08'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:IC107b,IC107b,"AI-added, moderate confidence 0.60; sheet 1 @ (3690,1853)","Locate chip IC107b on the PCB and read the printed part number. Expect '74LS08'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:IC107c,IC107c,"AI-added, moderate confidence 0.60; sheet 1 @ (3670,1581)","Locate chip IC107c on the PCB and read the printed part number. Expect '74LS08'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:IC108a,IC108a,"AI-added, moderate confidence 0.60; sheet 1 @ (3395,819)","Locate chip IC108a on the PCB and read the printed part number. Expect '74LS74'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:IC108b,IC108b,"AI-added, moderate confidence 0.60; sheet 1 @ (3001,1915)","Locate chip IC108b on the PCB and read the printed part number. Expect '74LS74'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:IC109,IC109,"AI-added, moderate confidence 0.55; sheet 1 @ (3955,928)","Locate chip IC109 on the PCB and read the printed part number. Expect '74LS08'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:IC110,IC110,"AI-added, moderate confidence 0.75; sheet 2 @ (2707,1385)","Locate chip IC110 on the PCB and read the printed part number. Expect '74LS166'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:IC111,IC111,"AI-added, moderate confidence 0.75; sheet 2 @ (2294,1388)","Locate chip IC111 on the PCB and read the printed part number. Expect '2716'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:IC112,IC112,"AI-added, moderate confidence 0.75; sheet 2 @ (1756,1857)","Locate chip IC112 on the PCB and read the printed part number. Expect '74LS273'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:IC113,IC113,"AI-added, moderate confidence 0.75; sheet 2 @ (682,2259)","Locate chip IC113 on the PCB and read the printed part number. Expect '74LS157'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:IC114,IC114,"AI-added, moderate confidence 0.75; sheet 2 @ (2714,512)","Locate chip IC114 on the PCB and read the printed part number. Expect 'MB8128'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:IC115,IC115,"AI-added, moderate confidence 0.55; sheet 1 @ (2229,1876)","Locate chip IC115 on the PCB and read the printed part number. Expect '74S161'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:IC116,IC116,"AI-added, moderate confidence 0.55; sheet 1 @ (1862,1874)","Locate chip IC116 on the PCB and read the printed part number. Expect '74S161'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:IC118,IC118,"AI-added, moderate confidence 0.55; sheet 1 @ (2192,1464)","Locate chip IC118 on the PCB and read the printed part number. Expect '74LS20'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:IC119,IC119,"AI-added, moderate confidence 0.55; sheet 1 @ (2602,1530)","Locate chip IC119 on the PCB and read the printed part number. Expect '74LS109'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:IC11a,IC11a,"AI-added, moderate confidence 0.55; sheet 1 @ (3701,2146)","Locate chip IC11a on the PCB and read the printed part number. Expect '74LS20'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:IC120a,IC120a,"AI-added, moderate confidence 0.60; sheet 1 @ (1002,2639)","Locate chip IC120a on the PCB and read the printed part number. Expect '74S74'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:IC120b,IC120b,"AI-added, moderate confidence 0.60; sheet 1 @ (1341,2641)","Locate chip IC120b on the PCB and read the printed part number. Expect '74S74'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:IC121,IC121,"AI-added, moderate confidence 0.75; sheet 2 @ (2710,1915)","Locate chip IC121 on the PCB and read the printed part number. Expect '74LS166'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:IC122,IC122,"AI-added, moderate confidence 0.75; sheet 2 @ (2305,1904)","Locate chip IC122 on the PCB and read the printed part number. Expect '2716'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:IC124,IC124,"AI-added, moderate confidence 0.55; sheet 1 @ (2583,354)","Locate chip IC124 on the PCB and read the printed part number. Expect '74LS138'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:IC128c,IC128c,"AI-added, moderate confidence 0.60; sheet 1 @ (3164,911)","Locate chip IC128c on the PCB and read the printed part number. Expect '74LS14'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:IC128d,IC128d,"AI-added, moderate confidence 0.60; sheet 1 @ (3705,908)","Locate chip IC128d on the PCB and read the printed part number. Expect '74LS14'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:IC128e,IC128e,"AI-added, moderate confidence 0.60; sheet 1 @ (2550,1730)","Locate chip IC128e on the PCB and read the printed part number. Expect '74LS14'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:IC128f,IC128f,"AI-added, moderate confidence 0.60; sheet 1 @ (3512,2175)","Locate chip IC128f on the PCB and read the printed part number. Expect '74LS14'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:IC129,IC129,"AI-added, moderate confidence 0.55; sheet 1 @ (668,854)","Locate chip IC129 on the PCB and read the printed part number. Expect '74LS123'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:IC130a,IC130a,"AI-added, moderate confidence 0.60; sheet 1 @ (811,2704)","Locate chip IC130a on the PCB and read the printed part number. Expect '74S04'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:IC130b,IC130b,"AI-added, moderate confidence 0.60; sheet 1 @ (332,2721)","Locate chip IC130b on the PCB and read the printed part number. Expect '74S04'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:IC130c,IC130c,"AI-added, moderate confidence 0.60; sheet 1 @ (598,2703)","Locate chip IC130c on the PCB and read the printed part number. Expect '74S04'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:IC130d,IC130d,"AI-added, moderate confidence 0.60; sheet 1 @ (522,1336)","Locate chip IC130d on the PCB and read the printed part number. Expect '74S04'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:IC62,IC62,"AI-added, moderate confidence 0.55; sheet 1 @ (1862,2465)","Locate chip IC62 on the PCB and read the printed part number. Expect 'UPB425'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:IC63,IC63,"AI-added, moderate confidence 0.55; sheet 1 @ (2229,2466)","Locate chip IC63 on the PCB and read the printed part number. Expect '74LS174'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:IC64a,IC64a,"AI-added, moderate confidence 0.60; sheet 1 @ (2603,1933)","Locate chip IC64a on the PCB and read the printed part number. Expect '74LS109'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:IC64b,IC64b,"AI-added, moderate confidence 0.60; sheet 1 @ (1335,2134)","Locate chip IC64b on the PCB and read the printed part number. Expect '74LS109'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:IC65,IC65,"AI-added, moderate confidence 0.55; sheet 1 @ (969,2080)","Locate chip IC65 on the PCB and read the printed part number. Expect '74S161'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:IC66,IC66,"AI-added, moderate confidence 0.55; sheet 1 @ (576,2082)","Locate chip IC66 on the PCB and read the printed part number. Expect '74S161'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:IC69,IC69,"AI-added, moderate confidence 0.60; sheet 1 @ (3980,2320)","Locate chip IC69 on the PCB and read the printed part number. Expect '74LS04'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
